angle,DC
9.15,2.9709E-10
9.8,0.0000E+00
19.27,7.8267E-02
10.88,0.0000E+00
41.69,0.0000E+00
5.36,0.0000E+00
3.95,0.0000E+00
11.64,0.0000E+00
15.78,0.0000E+00
6.36,1.7479E+02
7.63,3.7725E-02
26.48,1.7326E+02
36.87,0.0000E+00
42.18,1.4399E-01
42.72,0.0000E+00
41.33,1.2759E-01
14.02,0.0000E+00
89.9,0.0000E+00
23.5,1.0990E-01
15.19,0.0000E+00
57.72,0.0000E+00
6.23,0.0000E+00
30.75,8.5747E-02
36.81,2.9990E-06
24.55,0.0000E+00
26.58,1.3085E-01
39.85,6.9359E-02
14.23,0.0000E+00
9.94,0.0000E+00
20.02,0.0000E+00
46.83,0.0000E+00
16.1,0.0000E+00
32.95,0.0000E+00
6.73,1.4412E+02
24.43,2.9195E-02
40.35,1.2096E-01
18.18,1.6294E+02
23.54,0.0000E+00
15.1,3.3372E-03
26.99,2.2300E+01
8.51,1.1405E-01
42.1,3.5686E+01
55.04,3.8100E-03
52.67,0.0000E+00
56.63,0.0000E+00
15.18,0.0000E+00
81.67,0.0000E+00
33.72,1.5000E-02
50.57,5.8799E-03
15.34,1.2887E-01
6.84,1.3191E-01
20.98,0.0000E+00
22.22,0.0000E+00
44,1.1770E-01
17.86,5.6284E+01
35.57,1.3618E-01
32.38,9.4210E-02
5.21,7.8339E-02
10.99,1.4018E-01
8.61,4.5412E-02
5.72,0.0000E+00
44.82,6.6024E-04
4.77,0.0000E+00
44.83,1.0103E-01
5.45,7.2204E-03
36.7,0.0000E+00
30.15,0.0000E+00
40.5,0.0000E+00
3.74,0.0000E+00
21.36,1.0581E-01
4.22,2.8907E-02
33.25,1.2970E-01
7.71,0.0000E+00
25.5,1.1475E-01
12.91,0.0000E+00
10.42,0.0000E+00
43.38,7.7971E-02
15.53,4.0512E-02
12.11,0.0000E+00
34.89,1.1139E+02
4.84,0.0000E+00
23.85,7.8293E-02
13.78,1.0340E-01
14.11,1.0214E+02
64.3,1.2913E-01
19.26,0.0000E+00
36.52,0.0000E+00
64.95,0.0000E+00
9.27,0.0000E+00
9.43,1.2695E-01
8.8,0.0000E+00
39.6,0.0000E+00
14.86,1.0604E+02
42.5,0.0000E+00
79.04,1.2964E-01
38.21,3.4069E-04
52.17,1.6283E-02
28.35,0.0000E+00
49.01,5.3304E-02
29.84,9.0711E-02
21.77,0.0000E+00
21.79,0.0000E+00
3.89,0.0000E+00
45.98,0.0000E+00
31.89,0.0000E+00
29.41,1.5851E-02
26.01,1.3684E-01
7.93,0.0000E+00
74.91,0.0000E+00
20.9,0.0000E+00
38.58,7.4777E-02
48.36,0.0000E+00
35.98,0.0000E+00
36.29,0.0000E+00
35.05,1.0175E-02
40.07,0.0000E+00
6.48,0.0000E+00
60.1,0.0000E+00
9,4.6812E-02
26.35,1.6270E-01
80.63,5.1351E-02
26.78,4.4524E+01
7.62,0.0000E+00
87.91,1.1534E-01
11.2,7.4617E-02
14.25,1.6778E+01
15.99,0.0000E+00
25.17,0.0000E+00
66.27,3.6611E-02
7.15,0.0000E+00
56.52,0.0000E+00
5.09,0.0000E+00
50.48,8.9732E-02
20.88,0.0000E+00
9.51,0.0000E+00
7.34,9.9529E-02
27.8,1.2542E-01
57.62,1.3732E-01
10.1,3.2074E-02
12.42,1.2852E-01
11.54,1.2428E-01
21.57,0.0000E+00
4.61,0.0000E+00
31.28,1.9476E+02
29.7,8.0672E-03
31.59,1.3434E-01
4.24,0.0000E+00
5.78,5.2879E-02
28.07,1.1233E-01
10.77,0.0000E+00
17.9,1.2459E-01
37.22,0.0000E+00
8.98,0.0000E+00
33.53,1.2117E-01
74.3,0.0000E+00
17.13,0.0000E+00
23.04,0.0000E+00
16.43,1.3672E+01
5.67,9.1614E+01
20.61,0.0000E+00
24.19,0.0000E+00
43.6,3.5072E+01
17.95,0.0000E+00
16.89,0.0000E+00
16.93,0.0000E+00
26.53,1.1759E-01
5.06,6.1990E+01
27.64,1.8864E-02
61.54,0.0000E+00
48.01,0.0000E+00
30.59,3.5468E-02
75.29,7.4824E-02
60,0.0000E+00
41.05,1.2680E-01
34.71,1.0383E+02
32.83,9.0144E-02
67.92,0.0000E+00
34.54,0.0000E+00
4.41,1.2218E-01
6.74,0.0000E+00
53.16,0.0000E+00
44.35,0.0000E+00
76.31,6.1253E-07
41.11,0.0000E+00
4.05,0.0000E+00
28.03,1.2535E-01
14.45,1.1970E+02
17.06,1.3118E+02
32.52,9.3032E+01
34.89,5.5981E+01
28.93,0.0000E+00
14.56,5.8852E-03
70.53,8.5471E-02
21.43,0.0000E+00
6.01,1.5048E+02
6.4,1.9201E+02
55.88,6.6306E-02
13.17,2.6021E-02
23.95,1.0864E-01
13.44,0.0000E+00
57.55,0.0000E+00
54.82,0.0000E+00
53.05,0.0000E+00
25.99,1.5564E+02
40.73,1.0680E-01
35.3,9.0430E+01
52.66,0.0000E+00
22.62,5.6796E-03
31.49,0.0000E+00
4.98,1.1322E-01
32.78,0.0000E+00
12.62,0.0000E+00
28.84,0.0000E+00
54.49,0.0000E+00
49.17,0.0000E+00
12.68,9.4788E+01
73.06,0.0000E+00
8.09,0.0000E+00
43.57,0.0000E+00
24.53,0.0000E+00
63,1.3086E-01
47.69,6.7068E-02
19.03,6.2474E-02
39.07,0.0000E+00
8.26,0.0000E+00
17.23,2.6365E+02
4.58,0.0000E+00
19.56,0.0000E+00
77.88,4.3360E-02
59.76,0.0000E+00
67.64,0.0000E+00
86.63,0.0000E+00
44.76,1.3370E+02
18.73,0.0000E+00
9.9,3.2294E-02
18.92,1.3241E+02
45.89,1.3587E-01
16.26,1.1771E-06
51.74,3.7398E-03
4.76,6.1154E-02
20.32,0.0000E+00
61.02,8.7228E-04
7.04,0.0000E+00
40.83,6.2981E-02
22.77,0.0000E+00
7.36,0.0000E+00
12.36,1.0438E-01
17.23,0.0000E+00
36.15,0.0000E+00
29.86,1.7553E+02
29.24,0.0000E+00
17.49,1.6201E+02
48.13,0.0000E+00
54.91,0.0000E+00
31.05,2.0566E+02
84.55,0.0000E+00
65.9,1.2193E-01
30.98,0.0000E+00
23.48,0.0000E+00
26.75,3.5649E-02
38.36,0.0000E+00
32.2,0.0000E+00
3.27,1.0390E-02
25.46,0.0000E+00
20.05,0.0000E+00
52.07,0.0000E+00
20.67,1.0645E-01
20.05,3.4194E-02
4.41,0.0000E+00
39.97,0.0000E+00
23.95,0.0000E+00
55.59,0.0000E+00
3.1,9.3187E-02
25.45,2.5355E+02
44.13,0.0000E+00
33.4,1.0084E-01
35.64,0.0000E+00
13.42,0.0000E+00
29.49,1.0319E-01
57.12,0.0000E+00
29.07,0.0000E+00
3.47,0.0000E+00
5.4,1.2919E-01
18.54,2.7665E-02
62.44,0.0000E+00
88.79,0.0000E+00
